epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4112,1.8442,0.83193,0.89721,0.94279,0.39002,0.66138,0.3836,1.65464,0.80842,0.8929,0.000655914,0.000655914,0.000655914
2,29.3601,1.87866,0.8339,0.90126,0.94111,0.38869,0.66066,0.3814,1.67442,0.80605,0.89975,0.00132149,0.00132149,0.00132149
3,40.6209,1.85425,0.84293,0.90715,0.9148,0.37811,0.63995,0.31032,1.97579,0.85864,0.93691,0.00198597,0.00198597,0.00198597
4,53.3989,1.90886,0.84341,0.89769,0.9406,0.38946,0.66113,0.37482,1.66875,0.82909,0.88999,0.00199505,0.00199505,0.00199505
5,65.931,1.89945,0.83972,0.90337,0.93203,0.38749,0.65744,0.36654,1.75586,0.82515,0.90153,0.0019934,0.0019934,0.0019934
6,80.2646,1.87183,0.83225,0.8941,0.9313,0.38615,0.65414,0.36215,1.73209,0.85073,0.89594,0.00199175,0.00199175,0.00199175
7,92.1387,1.89559,0.84675,0.89665,0.9445,0.3902,0.66284,0.3767,1.68652,0.81611,0.89385,0.0019901,0.0019901,0.0019901
8,103.982,1.90632,0.85456,0.90416,0.93448,0.38701,0.65724,0.38038,1.6596,0.81987,0.89124,0.00198845,0.00198845,0.00198845
9,116.25,1.91635,0.8473,0.90211,0.93563,0.38638,0.65608,0.37625,1.65776,0.83941,0.88843,0.0019868,0.0019868,0.0019868
10,127.932,1.87561,0.84759,0.90118,0.93824,0.38848,0.65929,0.37359,1.70903,0.80858,0.89532,0.00198515,0.00198515,0.00198515
11,139.63,1.87709,0.83719,0.89537,0.94369,0.39007,0.66263,0.38653,1.63235,0.81325,0.88687,0.0019835,0.0019835,0.0019835
12,151.528,1.86925,0.84881,0.9035,0.94156,0.38812,0.65929,0.38147,1.63669,0.81865,0.88792,0.00198185,0.00198185,0.00198185
13,166.96,1.83364,0.83804,0.90254,0.93845,0.38772,0.65793,0.38476,1.6424,0.82262,0.88908,0.0019802,0.0019802,0.0019802
14,208.013,1.83416,0.83473,0.89498,0.94169,0.38969,0.6611,0.37371,1.68569,0.81471,0.89115,0.00197855,0.00197855,0.00197855
15,219.682,1.82082,0.83711,0.90559,0.94327,0.39068,0.66393,0.38895,1.63516,0.80189,0.89063,0.0019769,0.0019769,0.0019769
16,231.226,1.8427,0.83254,0.89624,0.94451,0.38906,0.66179,0.38212,1.67296,0.80345,0.89504,0.00197525,0.00197525,0.00197525
17,248.012,1.85622,0.83993,0.89453,0.93771,0.38802,0.66009,0.38359,1.6281,0.81893,0.89179,0.0019736,0.0019736,0.0019736
18,262.101,1.81376,0.82652,0.89524,0.94345,0.38933,0.66099,0.38473,1.63958,0.79611,0.89058,0.00197195,0.00197195,0.00197195
19,275.333,1.83876,0.82856,0.89554,0.93977,0.38806,0.65769,0.38153,1.62359,0.82183,0.88528,0.0019703,0.0019703,0.0019703
20,293.211,1.83235,0.82931,0.89252,0.9411,0.38943,0.66136,0.38603,1.64462,0.81086,0.88971,0.00196865,0.00196865,0.00196865
21,306.034,1.83176,0.81824,0.88968,0.94141,0.38911,0.65916,0.38366,1.62014,0.81036,0.88528,0.001967,0.001967,0.001967
