epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0891,5.5488,13.209,3.31973,0,0,0,0,3.08733,13.7521,1.81966,0.0006,0.0006,0.0006
2,37.6764,5.45019,5.68191,2.8732,0,0,0,0,3.07552,11.7301,1.8713,0.00121594,0.00121594,0.00121594
3,51.5181,4.8304,2.32654,2.10397,0,0,0,0,3.06865,6.30874,1.91189,0.00182775,0.00182775,0.00182775
4,65.6467,4.65868,2.10731,1.67532,0.02853,0.00221,0.01558,0.0045,2.46397,4.91647,1.10019,0.00198002,0.00198002,0.00198002
5,80.6354,4.24964,2.17097,1.591,0.08922,0.03468,0.05078,0.01218,3.7624,2.06333,1.33347,0.00197336,0.00197336,0.00197336
6,96.4377,4.28437,2.38062,1.45993,0.12312,0.05167,0.06493,0.01709,3.69885,1.8142,1.32941,0.0019667,0.0019667,0.0019667
7,111.654,4.21079,2.48973,1.39897,0.18911,0.07937,0.10766,0.02902,4.03214,2.07368,1.53336,0.00196004,0.00196004,0.00196004
8,127.134,4.06905,2.56732,1.41953,0.1219,0.05116,0.07251,0.01916,4.90297,2.36272,1.61696,0.00195338,0.00195338,0.00195338
9,142.961,4.08805,2.58747,1.41886,0.24339,0.10216,0.14357,0.04331,3.50799,2.52266,1.31503,0.00194672,0.00194672,0.00194672
10,158.978,4.03572,2.48019,1.37819,0.24379,0.10232,0.14376,0.03749,4.02246,2.72023,1.41245,0.00194006,0.00194006,0.00194006
11,174.606,3.8988,2.35323,1.34123,0.28241,0.11808,0.16605,0.04941,3.73946,2.58139,1.36005,0.0019334,0.0019334,0.0019334
12,190.073,3.86213,2.31112,1.32854,0.33627,0.14114,0.20381,0.06674,3.38241,2.14027,1.28644,0.00192674,0.00192674,0.00192674
13,204.931,3.6181,2.19632,1.30906,0.37083,0.15495,0.23129,0.06645,3.70977,1.84155,1.29791,0.00192008,0.00192008,0.00192008
14,220.372,3.66691,2.12979,1.29406,0.33436,0.10562,0.20442,0.06014,3.59414,1.85453,1.29411,0.00191342,0.00191342,0.00191342
15,235.756,3.55976,1.97698,1.21964,0.39033,0.16162,0.26203,0.0871,3.54046,1.95222,1.25615,0.00190676,0.00190676,0.00190676
16,251.146,3.4814,1.85594,1.22664,0.58827,0.24287,0.39215,0.1317,3.23472,1.44621,1.22682,0.0019001,0.0019001,0.0019001
17,267.064,3.40897,1.77309,1.18735,0.65174,0.27354,0.44674,0.15579,3.24625,1.44662,1.21721,0.00189344,0.00189344,0.00189344
18,282.472,3.25625,1.67081,1.1461,0.69327,0.29097,0.47644,0.17251,3.04029,1.4718,1.17686,0.00188678,0.00188678,0.00188678
19,297.787,3.12767,1.58777,1.13761,0.75224,0.31288,0.51495,0.20122,2.77558,1.32464,1.11757,0.00188012,0.00188012,0.00188012
20,313.216,3.08862,1.51258,1.13035,0.75296,0.31189,0.5122,0.19251,2.772,1.33311,1.11523,0.00187346,0.00187346,0.00187346
21,328.746,2.97521,1.45243,1.08066,0.76958,0.31617,0.52562,0.20861,2.60707,1.24762,1.07657,0.0018668,0.0018668,0.0018668
22,344.412,2.90999,1.38434,1.07874,0.78891,0.32576,0.53889,0.21323,2.59069,1.18174,1.07717,0.00186014,0.00186014,0.00186014
23,359.955,2.86466,1.341,1.04735,0.68255,0.2786,0.45337,0.16827,2.79277,1.28146,1.10992,0.00185348,0.00185348,0.00185348
24,375.725,2.81424,1.30355,1.04804,0.80042,0.32696,0.54285,0.22266,2.51741,1.16174,1.06254,0.00184682,0.00184682,0.00184682
25,391.921,2.73328,1.24427,1.04163,0.83473,0.34281,0.57508,0.24457,2.39951,1.02063,1.03178,0.00184016,0.00184016,0.00184016
26,408.115,2.782,1.24588,1.03477,0.8232,0.3381,0.56692,0.24072,2.3605,1.01022,1.02441,0.0018335,0.0018335,0.0018335
