epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7989,4.12593,9.42891,2.37669,0,0,0,0,1.56269,8.50069,0.93581,0.000655914,0.000655914,0.000655914
2,26.8458,5.40624,4.08901,2.7447,0,0,0,0,1.548,4.94458,0.9594,0.00130949,0.00130949,0.00130949
3,37.4893,4.78238,2.71664,2.03406,0.01455,0.00236,0.00519,0.00137,3.41079,inf,20.3725,0.00194986,0.00194986,0.00194986
4,51.9481,4.67267,2.3381,1.62947,0.02248,0.00646,0.01138,0.00268,4.1138,inf,7.53256,0.0019406,0.0019406,0.0019406
5,64.1921,4.34592,2.3056,1.59711,0.0342,0.00931,0.01736,0.0043,4.31204,inf,3.52945,0.0019208,0.0019208,0.0019208
6,78.2158,4.49167,2.2266,1.4623,0.05311,0.01493,0.02729,0.00744,4.12062,inf,3.47215,0.001901,0.001901,0.001901
7,89.8614,4.27599,2.22479,1.44771,0.06825,0.01968,0.03519,0.00974,4.18535,inf,1.91483,0.0018812,0.0018812,0.0018812
8,101.164,4.13164,2.36299,1.5112,0.10942,0.03554,0.05803,0.01561,4.39518,4.3914,1.47152,0.0018614,0.0018614,0.0018614
9,113.252,4.11076,2.33107,1.43434,0.21223,0.07216,0.12262,0.03557,4.1245,2.45338,1.36626,0.0018416,0.0018416,0.0018416
10,124.51,4.10701,2.27609,1.38588,0.24109,0.09362,0.14255,0.04494,3.80504,2.25387,1.29548,0.0018218,0.0018218,0.0018218
11,135.929,3.91278,2.12045,1.31506,0.29245,0.12274,0.16922,0.055,3.69073,1.98629,1.27546,0.001802,0.001802,0.001802
12,147.559,3.91751,2.10668,1.34205,0.29364,0.12324,0.16912,0.0527,3.77506,2.21169,1.28535,0.0017822,0.0017822,0.0017822
13,163.379,3.8491,2.06506,1.31967,0.33394,0.14016,0.20129,0.06675,3.46859,1.71595,1.21123,0.0017624,0.0017624,0.0017624
14,205.268,3.81711,1.96862,1.29318,0.37847,0.15885,0.23261,0.07879,3.40337,1.85343,1.20691,0.0017426,0.0017426,0.0017426
15,216.597,3.71331,1.89373,1.29226,0.4363,0.18312,0.27386,0.09459,3.32534,1.76014,1.20114,0.0017228,0.0017228,0.0017228
16,228.124,3.72206,1.79879,1.26799,0.51406,0.21356,0.33046,0.11469,3.25695,1.59665,1.19418,0.001703,0.001703,0.001703
17,244.486,3.67525,1.72046,1.25592,0.56664,0.23345,0.36807,0.12952,3.11501,1.49828,1.17194,0.0016832,0.0016832,0.0016832
18,259.604,3.46266,1.61312,1.22669,0.6348,0.26052,0.41749,0.1471,2.97625,1.42849,1.16468,0.0016634,0.0016634,0.0016634
19,273.593,3.36119,1.5418,1.2095,0.6533,0.27078,0.43464,0.14881,2.94747,1.35941,1.16182,0.0016436,0.0016436,0.0016436
20,291.934,3.35369,1.50423,1.19549,0.66577,0.27456,0.44125,0.16103,2.79141,1.25594,1.13075,0.0016238,0.0016238,0.0016238
21,304.876,3.20064,1.46722,1.16016,0.68854,0.28403,0.45922,0.17024,2.72046,1.25912,1.12622,0.001604,0.001604,0.001604
22,316.342,3.10695,1.40017,1.15557,0.68067,0.27896,0.45287,0.17259,2.71165,1.18275,1.10623,0.0015842,0.0015842,0.0015842
23,329.661,3.00754,1.36602,1.12245,0.67489,0.28326,0.45449,0.17116,2.72832,1.22601,1.09861,0.0015644,0.0015644,0.0015644
24,343.038,2.94591,1.32098,1.11761,0.73124,0.30329,0.49857,0.19635,2.60893,1.1422,1.08416,0.0015446,0.0015446,0.0015446
25,356.858,2.96702,1.3039,1.08333,0.72168,0.29601,0.48444,0.18963,2.61543,1.13589,1.10194,0.0015248,0.0015248,0.0015248
26,368.165,2.88805,1.24308,1.08169,0.78463,0.32247,0.5372,0.21675,2.49346,1.10118,1.0631,0.001505,0.001505,0.001505
27,380.455,2.86384,1.22413,1.06495,0.72047,0.2954,0.47263,0.19042,2.54182,1.11797,1.07135,0.0014852,0.0014852,0.0014852
28,392.735,2.86343,1.20077,1.07093,0.82204,0.33896,0.56721,0.22701,2.48363,1.02799,1.05295,0.0014654,0.0014654,0.0014654
29,404.775,2.77659,1.15114,1.06907,0.77542,0.31899,0.53569,0.21862,2.4979,1.03613,1.06577,0.0014456,0.0014456,0.0014456
30,424.122,2.74172,1.1173,1.04919,0.81733,0.33783,0.56788,0.24131,2.43296,0.99789,1.04522,0.0014258,0.0014258,0.0014258
31,435.674,2.72108,1.10132,1.041,0.80654,0.33179,0.55595,0.23067,2.41158,0.98614,1.04528,0.001406,0.001406,0.001406
32,447.015,2.64993,1.0785,1.03263,0.83497,0.34365,0.57579,0.24052,2.37221,0.96445,1.02704,0.0013862,0.0013862,0.0013862
33,458.442,2.68444,1.07466,1.03703,0.81704,0.33712,0.56841,0.24333,2.40038,0.97574,1.03678,0.0013664,0.0013664,0.0013664
34,470.727,2.63314,1.0544,1.02391,0.84959,0.34918,0.58574,0.25861,2.27227,0.92889,1.00568,0.0013466,0.0013466,0.0013466
35,482.463,2.58263,1.03303,1.01459,0.85778,0.35339,0.59521,0.2531,2.33229,0.92744,1.01676,0.0013268,0.0013268,0.0013268
36,495.059,2.51578,1.01419,1.0266,0.84908,0.34849,0.58792,0.2701,2.22009,0.91922,1.01729,0.001307,0.001307,0.001307
37,506.574,2.5233,1.02183,1.01423,0.84987,0.34932,0.58806,0.26897,2.20702,0.93599,1.00914,0.0012872,0.0012872,0.0012872
38,519.423,2.45424,0.99208,1.00442,0.86999,0.35858,0.60302,0.27432,2.20709,0.89447,0.99633,0.0012674,0.0012674,0.0012674
39,533.268,2.49627,0.99505,1.00184,0.86114,0.35462,0.59747,0.27903,2.18654,0.90222,1.00928,0.0012476,0.0012476,0.0012476
40,544.985,2.46496,0.97628,1.00437,0.87573,0.36036,0.60823,0.27999,2.19774,0.88226,0.99985,0.0012278,0.0012278,0.0012278
41,556.636,2.42551,0.97248,0.98886,0.86449,0.35624,0.6025,0.27962,2.19409,0.90675,0.9971,0.001208,0.001208,0.001208
42,573.421,2.41848,0.97965,1.0058,0.88007,0.36234,0.61141,0.28839,2.16251,0.87478,0.98457,0.0011882,0.0011882,0.0011882
43,584.936,2.39112,0.9694,0.9901,0.8464,0.35018,0.59106,0.28017,2.15396,0.92295,1.00615,0.0011684,0.0011684,0.0011684
44,603.069,2.42419,0.97151,0.98795,0.88414,0.36504,0.61554,0.28858,2.15003,0.87398,0.98442,0.0011486,0.0011486,0.0011486
45,614.679,2.35805,0.95296,0.99149,0.84934,0.35065,0.59114,0.27837,2.17746,0.91436,0.99541,0.0011288,0.0011288,0.0011288
46,637.301,2.38428,0.96918,0.99432,0.87729,0.36255,0.61077,0.30144,2.06588,0.87391,0.97796,0.001109,0.001109,0.001109
